Partlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part                Value                                Device                     Package                     Library                        Sheet
C123                0.1uF                                C-USC0402                  C0402                       resistor                       1
C124                0.1uF                                C-USC0402                  C0402                       resistor                       1
C125                0.1uF                                C-USC0402                  C0402                       resistor                       1
C126                0.1uF                                C-USC0402                  C0402                       resistor                       1
C127                0.1uF                                C-USC0402                  C0402                       resistor                       1
CHRG/LBO            ORANGE                               LEDCHIP-LED0603            CHIP-LED0603                adafruit                       1
D1                                                       DIODESOD-123               SOD-123                     adafruit                       1
D2                                                       DIODESOD-123               SOD-123                     adafruit                       1
D3                  RB521CS-30                           SCHOTTKY-DIODESMD          SMB                         diode                          1
DONE                GREEN                                LEDCHIP-LED0603            CHIP-LED0603                adafruit                       1
ETHERNET            EZG-2K-308 (Cat6A Rated)             EZG-1K-310                 EZG-1B-1K-310               con-lemo                       1
EXT_POWER_IN        EZG-2K-302                           EZG-2K-302                 EZG-2B-2K-302               con-lemo                       1
EXT_RADIO_INTERFACE EZG-0K-309                           EZG-0K-309                 EZG-0B-0K-309               con-lemo                       1
GPIOA               EZG-2K-314                           EZG-2K-314                 EZG-2B-2K-314               con-lemo                       1
GPIOB               EZG-2K-314                           EZG-2K-314                 EZG-2B-2K-314               con-lemo                       1
HDMI                47630-1012                           47630-1012                 47630-1012                  con-molex                      1
HEADSET             EZG-2K-305                           EZG-2K-305                 EZG-2B-2K-305               con-lemo                       1
J1                  Main B2B Header                      DF40C-(*)-80DS-0.4V(51)1.5 DF40C-80DS                  Hirose_DF40                    1
J2                  Second B2B Header                    DF40C-(*)-80DS-0.4V(51)1.5 DF40C-80DS                  Hirose_DF40                    1
J3                  Third B2B Header                     DF40C-(*)-70DS-0.4V(51)1.5 DF40C-70DS                  Hirose_DF40                    1
L1                  6.8uH                                L-USL2825P                 L2825P                      rcl                            1
L2                  1.5uH                                L-USL2825P                 L2825P                      rcl                            1
L3                  BLM15PX121SN1                        BLM15HB121SN1              0402                        inductors                      1
L4                  1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
L5                  1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
L6                  1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
L7                  1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
L8                  1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
L10                 1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
L11                 1000@100MHz                          FERRITE-0402               FB402                       dp_devices                     1
LT1085              5v                                   LT1085                     DDPAK-3                     linear                         1
MICRO_SD            MICROSD                              MICROSD                    MICROSD                     adafruit                       1
MSATA               679105700                            679105700                  679105700                   con-molex                      1
